,country,investment_2018,renew_ratio_2017,gdp_2017,gdp_2018,population_2017,population_2018,gdp_per_capita_2017,gdp_per_capita_2018,renew_ratio_2018,debt_gdp_ratio_2017,debt_gdp_ratio_2018,investment_gdp_ratio_2018
0,China,100.1,0.0354941326956703,12143491448186.1,13608151864637.9,1386395000.0,1392730000.0,8759.041577751,9770.847087833177,0.04384007522115725,0.4696,0.50104,7.355884986859938e-12
1,United States,64.2,0.0425327270251584,19485393853000.0,20494100000000.0,325147121.0,327167434.0,59927.92983395354,62641.01456992813,0.045097279771601176,1.05199,1.061414,3.1326088971948024e-12
2,Japan,27.2,0.049117212509244085,4859950558538.97,4970915556638.88,126785797.0,126529100.0,38331.979397810384,39286.73764880079,0.05587026607214692,2.3764700000000003,2.38225,5.471829020244205e-12
3,Germany,10.5,0.13294969539940005,3693204332229.78,3996759291057.81,82657002.0,82927922.0,44681.08258063582,48195.57990441157,0.14614475926752565,0.63852,0.5978600000000001,2.6271284396566693e-12
4,India,11.1,0.02888951332031865,2652551202555.27,2726322616821.31,1338658835.0,1352617328.0,1981.4990445681929,2015.5904854867497,0.03397741954862895,0.7117600000000001,0.69554,4.071418375621949e-12
5,United Kingdom,10.4,0.10939181150260352,2637866340434.13,2825207947502.9,66058859.0,66488991.0,39932.06029238455,42491.36443509723,0.12429536894078222,0.8752500000000001,0.8737999999999999,3.68114496109647e-12
6,Australia,9.5,0.04137537557520341,1330803227996.08,1432195178668.32,24601860.0,24992369.0,54093.60219089451,57305.29901620451,0.049992187848534535,0.40806999999999993,0.40513000000000005,6.633174124237218e-12
7,Spain,7.8,0.11334233189490177,1314314164402.2,1426189137596.58,46593236.0,46723749.0,28208.26105321811,30523.859239047364,0.11322819343703475,0.9836399999999998,0.97154,5.469120325193749e-12
8,Netherlands,5.6,0.04651810554516282,831809944960.879,913658465709.125,17131296.0,17231017.0,48554.99227617566,53024.05921305312,0.049708077942078925,0.5645,0.53099,6.129204960251342e-12
9,Sweden,5.5,0.1244748883747299,535607385506.432,551031682226.344,10057698.0,10183175.0,53253.47664111927,54111.97217236707,0.12259957405454645,0.40838,0.37911,9.981277261188038e-12
10,France,5.3,0.03951806989721865,2586285406561.51,2777535239277.98,66865144.0,66987244.0,38679.12714824198,41463.644022703484,0.043695531989302434,0.96801,0.9668799999999999,1.90816660939205e-12
11,South Africa,4.2,0.019739870228340808,349268114386.875,368288203086.63,57000451.0,57779622.0,6127.462296515426,6374.015445906344,0.02301686611531166,0.5304,0.55728,1.140411222732557e-11
12,Mexico,3.8,0.022867379693905985,1158071006809.62,1223808885585.61,124777324.0,126190788.0,9281.101482907425,9698.084186506627,0.025848762128574603,0.54332,0.53815,3.1050599850659242e-12
13,Vietnam,3.3,0.0009980105353300651,223779865815.183,244948445308.883,94596642.0,95540395.0,2365.6216656737456,2563.82073058085,0.0012336978851205376,0.58489,0.5781399999999999,1.3472222678689222e-11
14,Denmark,3.2,0.2881928668668248,329865553842.833,352058410508.345,5764980.0,5797446.0,57218.854851679105,60726.46653515099,0.2796459770793803,0.35294000000000003,0.34739000000000003,9.08940080533639e-12
15,Belgium,2.9,0.05492276524948608,494901708704.269,531766935070.733,11375158.0,11422068.0,43507.23820313256,46556.09956714782,0.06137352248472167,1.03423,1.01195,5.453516961550564e-12
16,Italy,2.8,0.098032689069254,1946570340341.13,2073901988878.23,60536709.0,60431283.0,32155.20586593384,34318.35112417239,0.09669229513371286,1.31808,1.30281,1.3501120183189155e-12
17,Morocco,2.8,0.03899699099588126,109708728848.535,118495328198.08,35581294.0,36029138.0,3083.32599844556,3288.874915577497,0.05163101079378482,0.65132,0.6441199999999999,2.3629623568951546e-11
18,Ukraine,2.4,0.005147562971394708,112190355158.178,130832374404.882,44831135.0,44622516.0,2502.509810607695,2931.981119237696,0.007090576670932252,0.70997,0.70481,1.834408349551779e-11
19,Canada,2.2,0.027705515728415214,1646867220617.47,1712510030034.05,36540268.0,37058856.0,45069.92725443256,46210.547622788195,0.02976381690937894,0.89727,0.87262,1.2846640086284676e-12
20,Turkey,2.2,0.043036367802029,851549231502.615,766509088837.579,81101892.0,82319724.0,10499.745573168811,9311.366117281674,0.05555942436916708,0.28261,0.32332,2.870155138455473e-12
21,Norway,2.0,0.014748300931400678,399488897844.046,434750937596.065,5276968.0,5314336.0,75704.24869812476,81807.19803867595,0.01966912393200812,0.36461999999999994,0.36358,4.600335104643837e-12
